category,badge_name,age_group,badge_tier,metric_code,threshold,threshold type,file_name,file_type
mechanics,gf_2_5,youth,bronze,mechanics_gf_2_5_youth_bronze,5,ground_force_2_session_count,mechanics_gf_2_5_youth_bronze.png,png
mechanics,gf_3_5,youth,bronze,mechanics_gf_3_5_youth_bronze,5,ground_force_3_session_count,mechanics_gf_3_5_youth_bronze.png,png
mechanics,gf_1_10,youth,silver,mechanics_gf_1_10_youth_silver,10,ground_force_1_session_count,mechanics_gf_1_10_youth_silver.png,png
mechanics,gf_2_10,youth,silver,mechanics_gf_2_10_youth_silver,10,ground_force_2_session_count,mechanics_gf_2_10_youth_silver.png,png
mechanics,gf_3_10,youth,silver,mechanics_gf_3_10_youth_silver,10,ground_force_3_session_count,mechanics_gf_3_10_youth_silver.png,png
mechanics,gf_1_20,youth,gold,mechanics_gf_1_20_youth_gold,20,ground_force_1_session_count,mechanics_gf_1_20_youth_gold.png,png
mechanics,gf_2_20,youth,gold,mechanics_gf_2_20_youth_gold,20,ground_force_2_session_count,mechanics_gf_2_20_youth_gold.png,png
mechanics,gf_3_20,youth,gold,mechanics_gf_3_20_youth_gold,20,ground_force_3_session_count,mechanics_gf_3_20_youth_gold.png,png
,,,,,,,,
mechanics,gf_1_5,all_star,bronze,mechanics_gf_1_5_all_star_bronze,5,ground_force_1_session_count,mechanics_gf_1_5_all_star_bronze.png,png
mechanics,gf_2_5,all_star,bronze,mechanics_gf_2_5_all_star_bronze,5,ground_force_2_session_count,mechanics_gf_2_5_all_star_bronze.png,png
mechanics,gf_3_5,all_star,bronze,mechanics_gf_3_5_all_star_bronze,5,ground_force_3_session_count,mechanics_gf_3_5_all_star_bronze.png,png
mechanics,gf_1_10,all_star,silver,mechanics_gf_1_10_all_star_silver,10,ground_force_1_session_count,mechanics_gf_1_10_all_star_silver.png,png
mechanics,gf_2_10,all_star,silver,mechanics_gf_2_10_all_star_silver,10,ground_force_2_session_count,mechanics_gf_2_10_all_star_silver.png,png
mechanics,gf_3_10,all_star,silver,mechanics_gf_3_10_all_star_silver,10,ground_force_3_session_count,mechanics_gf_3_10_all_star_silver.png,png
mechanics,gf_1_20,all_star,gold,mechanics_gf_1_20_all_star_gold,20,ground_force_1_session_count,mechanics_gf_1_20_all_star_gold.png,png
mechanics,gf_2_20,all_star,gold,mechanics_gf_2_20_all_star_gold,20,ground_force_2_session_count,mechanics_gf_2_20_all_star_gold.png,png
mechanics,gf_3_20,all_star,gold,mechanics_gf_3_20_all_star_gold,20,ground_force_3_session_count,mechanics_gf_3_20_all_star_gold.png,png
,,,,,,,,
mechanics,gf_1_5,pro,bronze,mechanics_gf_1_5_pro_bronze,5,ground_force_1_session_count,mechanics_gf_1_5_pro_bronze.png,png
mechanics,gf_2_5,pro,bronze,mechanics_gf_2_5_pro_bronze,5,ground_force_2_session_count,mechanics_gf_2_5_pro_bronze.png,png
mechanics,gf_3_5,pro,bronze,mechanics_gf_3_5_pro_bronze,5,ground_force_3_session_count,mechanics_gf_3_5_pro_bronze.png,png
mechanics,gf_1_10,pro,silver,mechanics_gf_1_10_pro_silver,10,ground_force_1_session_count,mechanics_gf_1_10_pro_silver.png,png
mechanics,gf_2_10,pro,silver,mechanics_gf_2_10_pro_silver,10,ground_force_2_session_count,mechanics_gf_2_10_pro_silver.png,png
mechanics,gf_3_10,pro,silver,mechanics_gf_3_10_pro_silver,10,ground_force_3_session_count,mechanics_gf_3_10_pro_silver.png,png
mechanics,gf_1_20,pro,gold,mechanics_gf_1_20_pro_gold,20,ground_force_1_session_count,mechanics_gf_1_20_pro_gold.png,png
mechanics,gf_2_20,pro,gold,mechanics_gf_2_20_pro_gold,20,ground_force_2_session_count,mechanics_gf_2_20_pro_gold.png,png
mechanics,gf_3_20,pro,gold,mechanics_gf_3_20_pro_gold,20,ground_force_3_session_count,mechanics_gf_3_20_pro_gold.png,png
,,,,,,,,
mechanics,gf_1_5,softball,bronze,mechanics_gf_1_5_softball_bronze,5,ground_force_1_session_count,mechanics_gf_1_5_softball_bronze.png,png
mechanics,gf_2_5,softball,bronze,mechanics_gf_2_5_softball_bronze,5,ground_force_2_session_count,mechanics_gf_2_5_softball_bronze.png,png
mechanics,gf_3_5,softball,bronze,mechanics_gf_3_5_softball_bronze,5,ground_force_3_session_count,mechanics_gf_3_5_softball_bronze.png,png
mechanics,gf_1_10,softball,silver,mechanics_gf_1_10_softball_silver,10,ground_force_1_session_count,mechanics_gf_1_10_softball_silver.png,png
mechanics,gf_2_10,softball,silver,mechanics_gf_2_10_softball_silver,10,ground_force_2_session_count,mechanics_gf_2_10_softball_silver.png,png
mechanics,gf_3_10,softball,silver,mechanics_gf_3_10_softball_silver,10,ground_force_3_session_count,mechanics_gf_3_10_softball_silver.png,png
mechanics,gf_1_20,softball,gold,mechanics_gf_1_20_softball_gold,20,ground_force_1_session_count,mechanics_gf_1_20_softball_gold.png,png
